unique_ID,SMILES,pkas,T_num,assessment,acid_base,is_aromatic,heavy_atoms
serjeant2137,O=C(O)CC(=O)O,pKa1=2.847;pKa2=5.696,25.0,Reliable,acid,False,7
serjeant2306b,O=C(O)/C=C/C(=O)O,pKa1=3.095;pKa2=4.602,25.0,Reliable,acid,False,8
serjeant2550,C=C(CC(=O)O)C(=O)O,pKa1=3.629;pKa2=4.998,25.0,Reliable,acid,False,9
perrin3020,NC(CC(F)(F)F)C(=O)O,pKa1=8.171,25.0,Reliable,acid,False,10
serjeant3021,Sc1cccc(Cl)c1,pKa1=5.780,25.0,Reliable,acid,True,8
serjeant2548,CC1=C(O)COC1=O,pKa1=4.150,25.0,Reliable,acid,False,8
serjeant2002,O=CO,pKa1=3.749,25.0,Reliable,acid,False,3
serjeant3523,N#Cc1ccc(O)cc1,pKa1=7.967,25.0,Reliable,acid,True,9
serjeant3545,O=C(O)c1ccc(Br)cc1,pKa1=3.963,25.0,Reliable,acid,True,10
serjeant2157,O=C(O)C#CCl,pKa1=1.845,25.0,Reliable,acid,False,6
serjeant4041,CCOc1ccccc1O,pKa1=10.109,25.0,Reliable,acid,True,10
perrin3154,CN(C)CC(=O)O,pKa1=9.940,25.0,Reliable,acid,False,7
serjeant4273,Cc1cc(O)cc(C)c1Cl,pKa1=9.702,25.0,Reliable,acid,True,10
serjeant3156,CC(C)C(C#N)C(=O)O,pKa1=2.014,25.0,Reliable,acid,False,9
serjeant3715,COc1ccc(S)cc1,pKa1=6.775,25.0,Reliable,acid,True,9
serjeant2135,C=CC(=O)O,pKa1=4.247,25.0,Reliable,acid,False,5
serjeant3976,O=C(O)Cc1ccccc1,pKa1=4.306,25.0,Reliable,acid,True,10
serjeant2163,N#CCC(=O)O,pKa1=2.471,25.0,Reliable,acid,False,6
serjeant4032,CCc1cccc(O)c1,pKa1=10.069,25.0,Reliable,acid,True,9
serjeant2929,Oc1c(Cl)cccc1Cl,pKa1=6.788,25.0,Reliable,acid,True,9
perrin104,NCCN,pKaH1=9.925;pKaH2=6.854,25.0,Reliable,base,False,4
perrin_supp5572,C1CNCCN1,pKaH1=9.731;pKaH2=5.333,25.0,Reliable,base,False,6
perrin1396,NCCc1c[nH]cn1,pKaH1=9.756;pKaH2=5.784,25.0,Reliable,base,True,8
perrin_supp4156,CCC(N)CN,pKaH1=9.388;pKaH2=6.399,25.0,Reliable,base,False,6
perrin_supp4114,CC(N)CN,pKaH1=9.720;pKaH2=6.607,25.0,Reliable,base,False,5
perrin2,CN,pKaH1=10.657,25.0,Reliable,base,False,2
perrin121,OCCNCC(O)O,pKaH1=7.762,25.0,Reliable,base,False,8
perrin967,C1CCNCC1,pKaH1=11.123,25.0,Reliable,base,False,6
perrin_supp6459,CCC1=NC(CC)CS1,pKaH1=5.357,25.0,Reliable,base,False,9
perrin454,N#Cc1cccc(N)c1,pKaH1=2.748,25.0,Reliable,base,True,9
perrin3032,NCCCCCC(=O)O,pKa1=10.804;pKaH1=4.373,25.0,Reliable,base,False,9
perrin_supp5477,CN1CC(=O)NC1=N,pKaH1=4.829,25.0,Reliable,base,False,8
perrin420,CN(C)c1ccc(Br)cc1,pKaH1=4.232,25.0,Reliable,base,True,10
perrin1402,Cc1cnc(C)[nH]1,pKaH1=8.359,25.0,Reliable,base,True,7
perrin144,NC(CO)(CO)CO,pKaH1=8.073,25.0,Reliable,base,False,8
perrin_supp6472,CC(C)Cc1nccs1,pKaH1=3.377,25.0,Reliable,base,True,9
perrin581,CNc1ccccc1,pKaH1=4.848,25.0,Reliable,base,True,8
perrin123,CN(CCO)CCO,pKaH1=8.520,25.0,Reliable,base,False,8
perrin1407,OCc1c[nH]cn1,pKaH1=6.385,25.0,Reliable,base,True,7
perrin3287,O=C(O)[C@@H]1CCCN1,pKa1=10.640;pKaH1=1.952,25.0,Reliable,base,False,8
